book_id,series,title,author_name,isbn,Number of Pages,book_format,my_library,price,year_published,genre,start_date,end_date,Average Rating,My Rating,status,Owned Copies,My Review
1,"(Assistant to the Villain, #2)",Apprentice to the Villain,Hannah Nicole Maehrer,B0DBJ56PPZ,0,audio,no,,2024,,,,4.15,0,read,0,
2,,The Rom-Commers,Katherine Center,9781250344793,0,audio,no,,2024,,,,4.11,4,read,0,
3,"(The Shepherd King, #2)",Two Twisted Crowns,Rachel Gillig,9780356519500,437,paperback,yes,18.99,2023,,,,4.42,5,read,0,
4,,Nocticadia,Keri Lake,B0C2SBZXGT,682,digital,no,,2023,,,,4.26,5,read,0,"So FUNNN. Absolutely wonderful experience that I had reading this. I liked the premise, it’s a unique book within its niche. The nerdy medical science-y terms and conditions felt well thought out and the twists- I guessed some of them, others were a pleasant surprise. The pacing in the beginning might seem slow to many, but something about it didn’t really make it difficult to get through to the second half where things start to pick up. A true dark and splendid slow burn with a neatly wrapped ending, loved it. "
5,"(Zodiac Academy, #1)",The Awakening,Caroline Peckham,B0947FLX32,0,audio,no,,2019,,,,3.85,3,read,0,"Writing is not the greatest but I like the premise, will give the second book a try. A bit confusing listening to the audiobook so maybe a physical copy for the second will give me a better experience."
6,"(Zodiac Academy, #2)",Ruthless Fae,Caroline Peckham,B097S8N48H,0,audio,no,,2019,,,,4.22,0,read,0,
7,,Sharp Objects,Gillian Flynn,9780307341556,254,paperback,yes,18,2007,,,,4.01,1,read,0,"WHALE, that was certainly…an experience. Let me start by saying the only reason this received 2 stars is because of the writing. I enjoyed that aspect. The pacing was a bit slow at times for me but nothing to put the book down over. I thought the repeated descriptions of her sister and the other young girls was unnecessary, after the first couple times I thought- ok we get it, she’s got nice boobs….<br/><br/>All of the characters need therapy, the plot twist just didn’t hit like I thought it would with all the ranting and raving about this book. I think the level of fucked up all the characters are actually made me sort of shrug a shoulder at the ending because…well yeah I wasn’t surprised. By that point I think it was clear just how troubled everyone was- especially the culprit- so it kind of just made sense? <br/><br/>Also, Alan??? He could’ve been left out completely and it wouldn’t have made much of a difference and for all the time I spent having to read about him- I would’ve preferred it that way. <br/><br/>Anyway- 2.5 for the writing, it was immersive and interesting enough for the most part- a bit tedious a times, this will be the first and last novel I read by Miss Flynn.<br/><br/>EDIT: F*ck that, 1 star. The writing is good sometimes but I just remembered all the “starship burns at my ankle” and “broken sings at my armpit” ugh."
8,"(The Shepherd King, #1)",One Dark Window,Rachel Gillig,9780316312486,399,paperback,yes,18.99,2022,,,,4.29,4,read,0,
9,"(The Housemaid, #1)",The Housemaid,Freida McFadden,9781803144375,329,paperback,yes,12.99,2022,,,,4.31,5,read,0,
10,,Behind Closed Doors,B.A. Paris,9781250122155,295,paperback,yes,19,2016,,,,3.98,5,read,0,"Splendiiiid read! Initially, I thought it may not be very exciting because it is reveled in the synopsis and early on in the book that the husband is a psychopath. Kinda felt like it may be a tedious read. As such, I did not expect Grace’s journey and telling of how she ended up here to be so gripping but alas, here I am- incredibly gripped.<br/><br/>Loved the writing, loved the pacing, loved the characters (psychopaths excluded of course), and LOVED LOVED LOVED the ending. <br/><br/>Is this book the most TECHNICALLY thrilling read? Mmm perhaps? Really nothing to outright traditionally “scary”, BUT there were plenty of these crazy tense moments that had me flying through the words, but can I say I was necessarily thrilled most of the time? No, but I had a better reading experience reading this than I had with more “thrilling” thrillers, so don’t let this dissuade you<br/><br/>HOWEVER, this is one of my most favorite reads of the year so far, it’s simply a damn good story. I was so invested in Grace and Millie and sopped up every interaction they had like a sheet of that expensive premium paper towel. <br/><br/>SIX STARS<br/><br/>Also. I quite enjoyed the whole George Clooney bit, and I was pleasantly surprised  that it had a true meaning."
